"filename", "language", "C++", "C", "Markdown", "Makefile", "YAML", "comment", "blank", "total"
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/makefile", "Makefile", 0, 0, 0, 11, 0, 11, 9, 31
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/main.c", "C", 0, 53, 0, 0, 0, 15, 8, 76
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/main.h", "C++", 12, 0, 0, 0, 0, 0, 4, 16
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/colors.c", "C", 0, 51, 0, 0, 0, 9, 6, 66
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/colors.h", "C++", 100, 0, 0, 0, 0, 28, 8, 136
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/cursor.c", "C", 0, 137, 0, 0, 0, 26, 9, 172
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/cursor.h", "C++", 58, 0, 0, 0, 0, 17, 7, 82
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/button.c", "C", 0, 57, 0, 0, 0, 15, 2, 74
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/button.h", "C++", 14, 0, 0, 0, 0, 8, 4, 26
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/check_box.c", "C", 0, 17, 0, 0, 0, 5, 2, 24
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/check_box.h", "C++", 11, 0, 0, 0, 0, 5, 4, 20
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/divider.c", "C", 0, 19, 0, 0, 0, 2, 5, 26
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/divider.h", "C++", 20, 0, 0, 0, 0, 4, 5, 29
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/input_box.c", "C", 0, 114, 0, 0, 0, 19, 3, 136
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/input_box.h", "C++", 23, 0, 0, 0, 0, 9, 5, 37
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/menu.c", "C", 0, 125, 0, 0, 0, 42, 4, 171
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/menu.h", "C++", 27, 0, 0, 0, 0, 19, 8, 54
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/rectangle.c", "C", 0, 12, 0, 0, 0, 1, 1, 14
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/rectangle.h", "C++", 14, 0, 0, 0, 0, 2, 5, 21
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/scroll_bar.c", "C", 0, 32, 0, 0, 0, 10, 6, 48
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/scroll_bar.h", "C++", 19, 0, 0, 0, 0, 6, 5, 30
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/slider.c", "C", 0, 27, 0, 0, 0, 9, 2, 38
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/slider.h", "C++", 19, 0, 0, 0, 0, 2, 4, 25
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/sprite.c", "C", 0, 11, 0, 0, 0, 0, 1, 12
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/sprite.h", "C++", 16, 0, 0, 0, 0, 4, 4, 24
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/text.c", "C", 0, 165, 0, 0, 0, 45, 12, 222
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/text.h", "C++", 32, 0, 0, 0, 0, 8, 6, 46
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/window.c", "C", 0, 199, 0, 0, 0, 42, 9, 250
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/elements/window.h", "C++", 30, 0, 0, 0, 0, 6, 7, 43
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/gfx/convimg.yaml", "YAML", 0, 0, 0, 0, 22, 0, 3, 25
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/gfx/cursor_move.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/gfx/cursor_move.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/gfx/cursor_normal.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/gfx/cursor_normal.h", "C++", 14, 0, 0, 0, 0, 0, 5, 19
"/media/michael/Data/Data/Programming/TI/Projects/Main/VYSION_2/src/optix/gfx/cursor_pointer.c", "C", 0, 12, 0, 0, 0, 0, 1, 13
